Time,RPM,Speed,nGear,Throttle,Brake,X,Y,Z,Distance
0 days 00:00:55.454000,10521,196,5,13,False,2560.9227021023958,6151.318480811953,1906.9722995355658,3918.795833333335
0 days 00:00:55.504000,10470,194,5,26,False,2556.0,6125.0,1907.0,3921.4902777777793
0 days 00:00:55.604000,10419,193,5,40,False,2549.0,6071.0,1907.0,3926.8513888888906
0 days 00:00:55.693000,10369,192,5,54,False,2545.5510010790763,6021.6045892464135,1907.0277727975192,3931.598055555557
0 days 00:00:55.844000,10432,193,5,58,False,2544.0,5936.0,1907.0,3939.693333333335
0 days 00:00:55.893000,10495,195,5,63,False,2544.0674955752906,5908.122318203308,1906.9041991927031,3942.3475000000017
0 days 00:00:56.093000,10758,197,5,84,False,2545.902830228534,5794.435251827939,1906.1410241851845,3953.2919444444465
0 days 00:00:56.124000,10949,202,5,91,False,2546.0,5777.0,1906.0,3955.031388888891
0 days 00:00:56.373000,11140,207,5,99,False,2543.3065675898274,5637.360208671697,1905.008712347368,3969.3488888888905
0 days 00:00:56.384000,10793,210,5,99,False,2543.0,5631.0,1905.0,3969.9905555555574
0 days 00:00:56.444000,10446,213,5,99,False,2541.0,5596.0,1905.0,3973.5405555555576
0 days 00:00:56.693000,10100,216,6,100,False,2525.088539206005,5452.681396757083,1904.3000404235202,3988.480555555557
0 days 00:00:56.765000,10241,218,6,100,False,2517.0,5411.0,1904.0,3992.8405555555573
0 days 00:00:56.985000,10382,220,6,100,False,2481.0,5282.0,1903.0,4006.2850000000017
0 days 00:00:57.013000,10524,222,6,100,False,2475.281920330433,5265.590725324626,1902.8510917420504,4008.011666666668
0 days 00:00:57.165000,10720,224,6,100,False,2440.0,5177.0,1902.0,4017.469444444446
0 days 00:00:57.253000,10917,227,6,100,False,2416.475100993968,5126.364150927383,1901.56985347913,4023.018333333335
0 days 00:00:57.365000,10880,230,6,100,False,2384.0,5064.0,1901.0,4030.1738888888904
0 days 00:00:57.493000,10843,234,6,100,False,2342.4913613732865,4995.736948985105,1900.1772461942478,4038.4938888888905
0 days 00:00:57.524000,10968,236,6,100,False,2329.0,4977.0,1900.0,4040.5261111111126
0 days 00:00:57.773000,11094,239,6,100,False,2167.530895961655,4789.623071069906,1899.1415966451166,4057.0569444444463
0 days 00:00:57.824000,11188,241,6,100,False,2136.0,4755.0,1899.0,4060.471111111113
0 days 00:00:57.974000,11282,244,6,100,False,2060.3285958040383,4673.165490312189,1898.55545738403,4070.6377777777793
0 days 00:00:58.224000,11450,247,6,99,False,1977.0,4583.0,1898.0,4087.790555555557
0 days 00:00:58.254000,11619,250,6,99,False,1968.958025941391,4573.680997395247,1897.9819359633586,4089.8738888888906
0 days 00:00:58.464000,11680,252,6,99,False,1916.0,4493.0,1898.0,4104.573888888891
0 days 00:00:58.494000,11741,254,6,99,False,1906.7559172126844,4472.749703579338,1897.9790591177575,4106.690555555558
0 days 00:00:58.734000,11140,257,6,99,False,1816.7945363836081,4230.659880408326,1897.4876550905894,4123.823888888891
0 days 00:00:58.864000,10872,256,6,99,False,1784.0,4131.0,1897.0,4133.068333333335
0 days 00:00:58.933000,10604,256,7,99,False,1775.457503189908,4101.191299050217,1896.6808801095042,4137.975000000002
0 days 00:00:59.104000,10640,259,7,99,False,1769.0,4058.0,1896.0,4150.277500000002
0 days 00:00:59.174000,10676,263,7,99,False,1764.3175759557173,4026.6220961183994,1895.9657002927722,4155.391388888891
0 days 00:00:59.374000,10771,267,7,99,False,1743.1468464576478,3883.97465461981,1896.3515175418156,4170.224722222225
0 days 00:00:59.464000,10841,268,7,99,False,1733.0,3794.0,1896.0,4176.924722222225
0 days 00:00:59.574000,10912,269,7,99,False,1720.9548749422722,3662.5657921635275,1894.9246022217728,4185.144166666669
0 days 00:00:59.664000,10991,272,7,99,False,1713.0,3568.0,1894.0,4191.944166666669
0 days 00:00:59.894000,11070,275,7,100,False,1703.5012948820063,3457.3699733722515,1893.0312266116398,4209.513611111113
0 days 00:00:59.944000,11162,277,7,100,False,1701.0,3431.0,1893.0,4213.360833333336
0 days 00:01:00.133000,11254,279,7,100,False,1686.2511254406506,3281.2654397211663,1893.2292880867424,4228.008333333336
0 days 00:01:00.224000,11321,281,7,100,False,1678.0,3200.0,1893.0,4235.111388888891
0 days 00:01:00.484000,11388,283,7,100,False,1656.0,2980.0,1891.0,4255.55027777778
0 days 00:01:00.493000,11455,285,7,100,False,1655.400674491154,2972.8032829858867,1890.985758486652,4256.26277777778
0 days 00:01:00.564000,11506,286,7,100,False,1651.0,2917.0,1891.0,4261.9033333333355
0 days 00:01:00.693000,11557,287,7,100,False,1642.6807897661124,2818.863553933091,1890.635661653003,4272.187500000002
0 days 00:01:00.804000,11619,289,7,100,False,1635.0,2734.0,1890.0,4281.098333333335
0 days 00:01:00.893000,11682,291,7,100,False,1628.4959955519807,2663.5366140971814,1889.3829137455305,4288.292500000001
0 days 00:01:01.084000,11193,292,7,100,False,1614.0,2508.0,1888.0,4303.7847222222235
0 days 00:01:01.253000,10705,294,7,100,False,1601.4307424711521,2370.8254039472445,1887.2000501121508,4317.58638888889
0 days 00:01:01.324000,10682,295,7,100,False,1596.0,2313.0,1887.0,4323.404444444445
0 days 00:01:01.454000,10659,297,8,100,False,1585.6418225315235,2206.439911017601,1886.8200011538054,4334.129444444446
0 days 00:01:01.544000,10670,298,8,100,False,1579.0,2132.0,1886.0,4341.5794444444455
0 days 00:01:01.604000,10681,300,8,100,False,1575.0,2082.0,1885.0,4346.5794444444455
0 days 00:01:01.773000,10693,302,8,100,False,1562.3125548052574,1940.6668855733144,1884.9648667724389,4360.756666666668
0 days 00:01:01.804000,10731,303,8,100,False,1560.0,1916.0,1885.0,4363.365833333334
0 days 00:01:02.173000,10770,305,8,100,False,1531.240148775461,1609.550055355776,1882.0858991208347,4394.628333333334
0 days 00:01:02.184000,10834,305,8,100,False,1530.0,1596.0,1882.0,4395.5602777777785
0 days 00:01:02.344000,10898,306,8,100,False,1510.0,1376.0,1881.0,4409.160277777779
0 days 00:01:02.413000,10963,307,8,100,False,1502.6655359085833,1295.605120685118,1880.6212830194097,4415.044444444446
0 days 00:01:02.613000,11057,309,8,100,False,1487.0063954343386,1125.8559441543782,1879.5631589666077,4432.211111111113
0 days 00:01:02.704000,11096,310,8,100,False,1480.0,1050.0,1879.0,4440.047222222223
0 days 00:01:02.973000,11136,312,8,100,False,1456.6350012101323,795.9249245458976,1876.931206564925,4463.360555555557
0 days 00:01:03.134000,11181,314,8,99,False,1444.753940973534,665.5594804539852,1876.0932463933755,4477.403333333335
0 days 00:01:03.184000,11212,314,8,99,False,1442.0,635.0,1876.0,4481.764444444446
0 days 00:01:03.334000,11244,314,8,100,False,1436.313955631168,570.6820864151625,1876.1772956209184,4494.84777777778
0 days 00:01:03.445000,11261,315,8,100,False,1431.0,513.0,1876.0,4504.560277777779
0 days 00:01:03.533000,11279,317,8,100,False,1424.4075940719545,443.7924360097044,1875.3159862161565,4512.309166666669
0 days 00:01:03.685000,11305,318,8,100,False,1411.0,302.0,1874.0,4525.735833333336
0 days 00:01:03.773000,11331,319,8,100,False,1404.5534751386742,229.59178666807952,1874.0047469228825,4533.533611111114
0 days 00:01:03.865000,11350,319,8,100,False,1397.0,144.0,1874.0,4541.685833333336
0 days 00:01:04.053000,11370,319,8,100,False,1373.342054132568,-114.7587129737438,1871.9789776804212,4558.344722222224
0 days 00:01:04.144000,11413,320,8,100,False,1363.0,-227.0,1871.0,4566.433611111113
0 days 00:01:04.373000,11457,322,8,100,False,1349.3822299001467,-374.97366403723885,1870.2977250287872,4586.916388888891
0 days 00:01:04.564000,11467,322,8,100,False,1340.0,-476.0,1870.0,4604.000277777778
0 days 00:01:04.744000,11478,322,8,100,False,1325.0,-637.0,1869.0,4620.1002777777785
0 days 00:01:04.814000,11489,323,8,100,False,1318.2385036415467,-710.265059930071,1868.7358847003732,4626.380833333334
